,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,dam,spp
29,2010-01-30,5.081791827950173,5.081791827950173,5.081791827950173,-0.9065796443918963,1.5786272481227739,-4.7630586785134446,-4.7630586785134446,-4.7630586785134446,-4.7630586785134446,-4.7630586785134446,-4.7630586785134446,-0.029665344578841544,-0.029665344578841544,-0.029665344578841544,-4.733393333934603,-4.733393333934603,-4.733393333934603,0.3187331494367287,BON,chinook_adult
30,2010-01-31,5.080536290515685,5.080536290515685,5.080536290515685,-0.9804735227611303,1.6142453405729171,-4.740097196300189,-4.740097196300189,-4.740097196300189,-4.740097196300189,-4.740097196300189,-4.740097196300189,-0.005949091582311754,-0.005949091582311754,-0.005949091582311754,-4.734148104717878,-4.734148104717878,-4.734148104717878,0.3404390942154958,BON,chinook_adult
31,2010-02-01,5.079280753081196,5.079280753081196,5.079280753081196,-0.9460414241962287,1.6373262474362162,-4.742231830418875,-4.742231830418875,-4.742231830418875,-4.742231830418875,-4.742231830418875,-4.742231830418875,-0.006572469922057562,-0.006572469922057562,-0.006572469922057562,-4.735659360496818,-4.735659360496818,-4.735659360496818,0.337048922662321,BON,chinook_adult
32,2010-02-02,5.078025215646707,5.078025215646707,5.078025215646707,-0.9986486584563374,1.6117399074530567,-4.776960861666418,-4.776960861666418,-4.776960861666418,-4.776960861666418,-4.776960861666418,-4.776960861666418,-0.0390641157295469,-0.0390641157295469,-0.0390641157295469,-4.7378967459368715,-4.7378967459368715,-4.7378967459368715,0.30106435398028886,BON,chinook_adult
33,2010-02-03,5.0767696782122185,5.0767696782122185,5.0767696782122185,-1.0102033776187942,1.6713023532795002,-4.726634087119263,-4.726634087119263,-4.726634087119263,-4.726634087119263,-4.726634087119263,-4.726634087119263,0.014166124245479762,0.014166124245479762,0.014166124245479762,-4.740800211364743,-4.740800211364743,-4.740800211364743,0.3501355910929558,BON,chinook_adult
34,2010-02-04,5.075514140777731,5.075514140777731,5.075514140777731,-1.0252990927791394,1.5796071058032644,-4.708075708307803,-4.708075708307803,-4.708075708307803,-4.708075708307803,-4.708075708307803,-4.708075708307803,0.03620416943021739,0.03620416943021739,0.03620416943021739,-4.74427987773802,-4.74427987773802,-4.74427987773802,0.36743843246992824,BON,chinook_adult
35,2010-02-05,5.074258603343242,5.074258603343242,5.074258603343242,-1.0104399912702706,1.741764847057936,-4.7173359008421825,-4.7173359008421825,-4.7173359008421825,-4.7173359008421825,-4.7173359008421825,-4.7173359008421825,0.030880728136884826,0.030880728136884826,0.030880728136884826,-4.748216628979066,-4.748216628979066,-4.748216628979066,0.35692270250105995,BON,chinook_adult
36,2010-02-06,5.073003065908754,5.073003065908754,5.073003065908754,-1.0226375151604283,1.6092846360087396,-4.782128773125127,-4.782128773125127,-4.782128773125127,-4.782128773125127,-4.782128773125127,-4.782128773125127,-0.02966534457883375,-0.02966534457883375,-0.02966534457883375,-4.752463428546293,-4.752463428546293,-4.752463428546293,0.2908742927836272,BON,chinook_adult
37,2010-02-07,5.0717475284742655,5.0717475284742655,5.0717475284742655,-1.0070405276305865,1.659126589101556,-4.762796429598342,-4.762796429598342,-4.762796429598342,-4.762796429598342,-4.762796429598342,-4.762796429598342,-0.005949091582269001,-0.005949091582269001,-0.005949091582269001,-4.7568473380160725,-4.7568473380160725,-4.7568473380160725,0.30895109887592387,BON,chinook_adult
38,2010-02-08,5.070491991039777,5.070491991039777,5.070491991039777,-1.0910789844863569,1.6295966198283132,-4.767744666677588,-4.767744666677588,-4.767744666677588,-4.767744666677588,-4.767744666677588,-4.767744666677588,-0.006572469922096944,-0.006572469922096944,-0.006572469922096944,-4.76117219675549,-4.76117219675549,-4.76117219675549,0.30274732436218876,BON,chinook_adult
